"STATION","DATE","TAVG","TMAX","TMIN"
"TUM00017064","2020-01-01","45",,
"TUM00017064","2020-01-02","42",,
"TUM00017064","2020-01-03","43",,"37"
"TUM00017064","2020-01-04","46",,
"TUM00017064","2020-01-05","44",,"38"
"TUM00017064","2020-01-06","45",,"43"
"TUM00017064","2020-01-07","43",,
"TUM00017064","2020-01-08","42",,
"TUM00017064","2020-01-09","42",,"39"
"TUM00017064","2020-01-10","43",,"36"
"TUM00017064","2020-01-11","47",,"39"
"TUM00017064","2020-01-12","47",,
"TUM00017064","2020-01-13","47",,
"TUM00017064","2020-01-14","45",,"38"
"TUM00017064","2020-01-15","46",,
"TUM00017064","2020-01-16","47",,"44"
"TUM00017064","2020-01-17","47",,
"TUM00017064","2020-01-18","46",,
"TUM00017064","2020-01-19","43",,"41"
"TUM00017064","2020-01-20","42",,
"TUM00017064","2020-01-21","39",,
"TUM00017064","2020-01-22","41",,"33"
"TUM00017064","2020-01-23","44",,
"TUM00017064","2020-01-24","43",,"37"
"TUM00017064","2020-01-25","47",,"38"
"TUM00017064","2020-01-26","52",,"47"
"TUM00017064","2020-01-27","54","61","47"
"TUM00017064","2020-01-28","48",,
"TUM00017064","2020-01-29","53","59","44"
"TUM00017064","2020-01-30","45",,
"TUM00017064","2020-01-31","46",,"37"
"TUM00017064","2020-02-01","52",,
"TUM00017064","2020-02-02","54",,"45"
"TUM00017064","2020-02-03","56",,"51"
"TUM00017064","2020-02-04","56",,
"TUM00017064","2020-02-05","56","66",
"TUM00017064","2020-02-06","41",,
"TUM00017064","2020-02-07","40",,
"TUM00017064","2020-02-08","34",,"31"
"TUM00017064","2020-02-09","37","42","33"
"TUM00017064","2020-02-10","43",,"34"
"TUM00017064","2020-02-11","53",,"45"
"TUM00017064","2020-02-12","47",,
"TUM00017064","2020-02-13","48",,
"TUM00017064","2020-02-14","50",,"38"
"TUM00017064","2020-02-15","49",,
"TUM00017064","2020-02-16","47",,
"TUM00017064","2020-02-17","47",,"40"
"TUM00017064","2020-02-18","46",,
"TUM00017064","2020-02-19","47",,"41"
"TUM00017064","2020-02-20","46",,"45"
"TUM00017064","2020-02-21","45",,
"TUM00017064","2020-02-22","45",,
"TUM00017064","2020-02-23","45",,"38"
"TUM00017064","2020-02-24","51",,"44"
"TUM00017064","2020-02-25","50",,"43"
"TUM00017064","2020-02-26","58",,"44"
"TUM00017064","2020-02-27","58",,
"TUM00017064","2020-02-28","50",,"44"
"TUM00017064","2020-02-29","47",,
"TUM00017064","2020-03-01","46",,"38"
"TUM00017064","2020-03-02","53",,
"TUM00017064","2020-03-03","60",,"49"
"TUM00017064","2020-03-04","58",,"52"
"TUM00017064","2020-03-05","55",,
"TUM00017064","2020-03-06","52",,"48"
"TUM00017064","2020-03-07","58",,"48"
"TUM00017064","2020-03-08","63",,"54"
"TUM00017064","2020-03-09","59",,
"TUM00017064","2020-03-10","51",,
"TUM00017064","2020-03-11","54",,"49"
"TUM00017064","2020-03-12","55",,"46"
"TUM00017064","2020-03-13","54",,"46"
"TUM00017064","2020-03-14","51",,"45"
"TUM00017064","2020-03-15","47",,
"TUM00017064","2020-03-16","44",,
"TUM00017064","2020-03-17","44",,"39"
"TUM00017064","2020-03-18","43",,"38"
"TUM00017064","2020-03-19","46",,"40"
"TUM00017064","2020-03-20","47",,"41"
"TUM00017064","2020-03-21","49",,"40"
"TUM00017064","2020-03-22","53",,"43"
"TUM00017064","2020-03-23","49",,"48"
"TUM00017064","2020-03-24","47",,
"TUM00017064","2020-03-25","46",,"44"
"TUM00017064","2020-03-26","48",,"45"
"TUM00017064","2020-03-27","50",,"47"
"TUM00017064","2020-03-28","48",,
"TUM00017064","2020-03-29","49",,"47"
"TUM00017064","2020-03-30","54",,"48"
"TUM00017064","2020-03-31","49",,
"TUM00017064","2020-04-01","47",,
"TUM00017064","2020-04-02","47",,
"TUM00017064","2020-04-03","46",,"42"
"TUM00017064","2020-04-04","49",,"42"
"TUM00017064","2020-04-05","51",,"50"
"TUM00017064","2020-04-06","49",,
"TUM00017064","2020-04-07","50",,"46"
"TUM00017064","2020-04-08","50",,"47"
"TUM00017064","2020-04-09","51",,
"TUM00017064","2020-04-10","51",,"40"
"TUM00017064","2020-04-11","55",,"45"
"TUM00017064","2020-04-12","53",,"46"
"TUM00017064","2020-04-13","53",,"44"
"TUM00017064","2020-04-14","63",,"49"
"TUM00017064","2020-04-15","50",,
"TUM00017064","2020-04-16","52",,"44"
"TUM00017064","2020-04-17","54",,"42"
"TUM00017064","2020-04-18","59",,"48"
"TUM00017064","2020-04-19","63",,
"TUM00017064","2020-04-20","57",,
"TUM00017064","2020-04-21","52",,
"TUM00017064","2020-04-22","54",,"47"
"TUM00017064","2020-04-23","54",,"44"
"TUM00017064","2020-04-24","56",,"47"
"TUM00017064","2020-04-25","52",,"43"
"TUM00017064","2020-04-26","63",,"46"
"TUM00017064","2020-04-27","64",,"52"
"TUM00017064","2020-04-28","66",,"55"
"TUM00017064","2020-04-29","68",,"53"
"TUM00017064","2020-04-30","67",,"58"
"TUM00017064","2020-05-01","65",,"58"
"TUM00017064","2020-05-02","67",,"58"
"TUM00017064","2020-05-03","62",,"57"
"TUM00017064","2020-05-04","56",,
"TUM00017064","2020-05-05","59",,
"TUM00017064","2020-05-06","65",,"53"
"TUM00017064","2020-05-07","56",,"51"
"TUM00017064","2020-05-08","60",,"50"
"TUM00017064","2020-05-09","62",,"48"
"TUM00017064","2020-05-10","65",,"50"
"TUM00017064","2020-05-11","74",,"56"
"TUM00017064","2020-05-12","76",,"62"
"TUM00017064","2020-05-13","65",,
"TUM00017064","2020-05-14","65",,"56"
"TUM00017064","2020-05-15","77",,"63"
"TUM00017064","2020-05-16","80",,"70"
"TUM00017064","2020-05-17","76",,"65"
"TUM00017064","2020-05-18","75",,
"TUM00017064","2020-05-19","78",,"62"
"TUM00017064","2020-05-20","75",,"63"
"TUM00017064","2020-05-21","66",,
"TUM00017064","2020-05-22","57",,
"TUM00017064","2020-05-23","56",,"50"
"TUM00017064","2020-05-24","61",,"48"
"TUM00017064","2020-05-25","62",,
"TUM00017064","2020-05-26","63",,"54"
"TUM00017064","2020-05-27","59",,"56"
"TUM00017064","2020-05-28","61",,"55"
"TUM00017064","2020-05-29","62",,"56"
"TUM00017064","2020-05-30","66",,"58"
"TUM00017064","2020-05-31","69",,"58"
"TUM00017064","2020-06-01","65",,"61"
"TUM00017064","2020-06-02","66",,"60"
"TUM00017064","2020-06-03","63",,"60"
"TUM00017064","2020-06-04","69",,"56"
"TUM00017064","2020-06-05","76",,"61"
"TUM00017064","2020-06-06","80",,"63"
"TUM00017064","2020-06-07","74",,"66"
"TUM00017064","2020-06-08","74",,"65"
"TUM00017064","2020-06-09","78",,"65"
"TUM00017064","2020-06-10","80",,"69"
"TUM00017064","2020-06-11","76",,"68"
"TUM00017064","2020-06-12","75",,
"TUM00017064","2020-06-13","73",,"68"
"TUM00017064","2020-06-14","73",,"69"
"TUM00017064","2020-06-15","76",,"67"
"TUM00017064","2020-06-16","79",,"69"
"TUM00017064","2020-06-17","78",,"70"
"TUM00017064","2020-06-18","73",,"71"
"TUM00017064","2020-06-19","71",,
"TUM00017064","2020-06-20","75",,
"TUM00017064","2020-06-21","76",,
"TUM00017064","2020-06-22","75",,"66"
"TUM00017064","2020-06-23","73",,
"TUM00017064","2020-06-24","74",,"69"
"TUM00017064","2020-06-25","76",,"67"
"TUM00017064","2020-06-26","76",,"70"
"TUM00017064","2020-06-27","76",,"69"
"TUM00017064","2020-06-28","77",,"69"
"TUM00017064","2020-06-29","78",,"68"
"TUM00017064","2020-06-30","77",,"67"
"TUM00017064","2020-07-01","80",,"70"
"TUM00017064","2020-07-02","81",,"74"
"TUM00017064","2020-07-03","81",,"74"
"TUM00017064","2020-07-04","81",,
"TUM00017064","2020-07-05","81",,
"TUM00017064","2020-07-06","82",,"75"
"TUM00017064","2020-07-07","82",,"75"
"TUM00017064","2020-07-08","74",,
"TUM00017064","2020-07-09","75",,"68"
"TUM00017064","2020-07-10","75",,"68"
"TUM00017064","2020-07-11","77",,"68"
"TUM00017064","2020-07-12","78",,"70"
"TUM00017064","2020-07-13","72",,
"TUM00017064","2020-07-14","73",,"69"
"TUM00017064","2020-07-15","70",,"66"
"TUM00017064","2020-07-16","74",,"65"
"TUM00017064","2020-07-17","74",,"65"
"TUM00017064","2020-07-18","77",,"68"
"TUM00017064","2020-07-19","78",,"72"
"TUM00017064","2020-07-20","78",,
"TUM00017064","2020-07-21","76",,"71"
"TUM00017064","2020-07-22","78",,
"TUM00017064","2020-07-23","79",,"72"
"TUM00017064","2020-07-24","78",,
"TUM00017064","2020-07-25","77",,"70"
"TUM00017064","2020-07-26","78",,"70"
"TUM00017064","2020-07-27","78",,"71"
"TUM00017064","2020-07-28","79",,"73"
"TUM00017064","2020-07-29","81",,"71"
"TUM00017064","2020-07-30","81",,"73"
"TUM00017064","2020-07-31","80",,"73"
"TUM00017064","2020-08-01","80",,"72"
"TUM00017064","2020-08-02","78",,"71"
"TUM00017064","2020-08-03","77",,"71"
"TUM00017064","2020-08-04","78",,"71"
"TUM00017064","2020-08-05","78",,
"TUM00017064","2020-08-06","79",,"71"
"TUM00017064","2020-08-07","81",,"73"
"TUM00017064","2020-08-08","80",,"76"
"TUM00017064","2020-08-09","80",,"76"
"TUM00017064","2020-08-10","80",,"73"
"TUM00017064","2020-08-11","80",,"73"
"TUM00017064","2020-08-12","81",,"72"
"TUM00017064","2020-08-13","80",,"72"
"TUM00017064","2020-08-14","77",,"71"
"TUM00017064","2020-08-15","77",,"69"
"TUM00017064","2020-08-16","76",,"69"
"TUM00017064","2020-08-17","75",,"69"
"TUM00017064","2020-08-18","75",,"68"
"TUM00017064","2020-08-19","76",,"69"
"TUM00017064","2020-08-20","74",,
"TUM00017064","2020-08-21","76",,"70"
"TUM00017064","2020-08-22","77",,"69"
"TUM00017064","2020-08-23","78",,"71"
"TUM00017064","2020-08-24","78",,"71"
"TUM00017064","2020-08-25","78","89","70"
"TUM00017064","2020-08-26","78",,"70"
"TUM00017064","2020-08-27","77",,"69"
"TUM00017064","2020-08-28","78",,"67"
"TUM00017064","2020-08-29","81",,"72"
"TUM00017064","2020-08-30","80",,
"TUM00017064","2020-08-31","77",,"70"
"TUM00017064","2020-09-01","78",,"70"
"TUM00017064","2020-09-02","78",,"70"
"TUM00017064","2020-09-03","79",,
"TUM00017064","2020-09-04","75",,
"TUM00017064","2020-09-05","73",,
"TUM00017064","2020-09-06","74",,"66"
"TUM00017064","2020-09-07","76",,"68"
"TUM00017064","2020-09-08","76",,
"TUM00017064","2020-09-09","77",,
"TUM00017064","2020-09-10","76",,"67"
"TUM00017064","2020-09-11","76",,"70"
"TUM00017064","2020-09-12","77",,"71"
"TUM00017064","2020-09-13","77",,
"TUM00017064","2020-09-14","78",,"71"
"TUM00017064","2020-09-15","77",,"72"
"TUM00017064","2020-09-16","76",,
"TUM00017064","2020-09-17","76",,"70"
"TUM00017064","2020-09-18","75",,"69"
"TUM00017064","2020-09-19","71",,
"TUM00017064","2020-09-20","70",,"67"
"TUM00017064","2020-09-21","73",,"68"
"TUM00017064","2020-09-22","72",,"66"
"TUM00017064","2020-09-23","71",,
"TUM00017064","2020-09-24","74",,"64"
"TUM00017064","2020-09-25","74",,
"TUM00017064","2020-09-26","79",,"67"
"TUM00017064","2020-09-27","75",,"69"
"TUM00017064","2020-09-28","75",,
"TUM00017064","2020-09-29","72",,
"TUM00017064","2020-09-30","68",,"63"
"TUM00017064","2020-10-01","68",,
"TUM00017064","2020-10-02","69",,"62"
"TUM00017064","2020-10-03","70",,"60"
"TUM00017064","2020-10-04","73",,"62"
"TUM00017064","2020-10-05","77",,"66"
"TUM00017064","2020-10-06","78",,"69"
"TUM00017064","2020-10-07","78",,"70"
"TUM00017064","2020-10-08","71",,
"TUM00017064","2020-10-09","65",,
"TUM00017064","2020-10-10","65",,"59"
"TUM00017064","2020-10-11","67",,"61"
"TUM00017064","2020-10-12","69",,"60"
"TUM00017064","2020-10-13","72",,"62"
"TUM00017064","2020-10-14","71",,
"TUM00017064","2020-10-15","69",,"62"
"TUM00017064","2020-10-16","69",,"62"
"TUM00017064","2020-10-17","71",,"64"
"TUM00017064","2020-10-18","65",,
"TUM00017064","2020-10-19","61",,"58"
"TUM00017064","2020-10-20","62",,"60"
"TUM00017064","2020-10-21","65",,"61"
"TUM00017064","2020-10-22","66",,"60"
"TUM00017064","2020-10-23","64",,
"TUM00017064","2020-10-24","65",,"60"
"TUM00017064","2020-10-25","67",,"58"
"TUM00017064","2020-10-26","65",,
"TUM00017064","2020-10-27","66",,"58"
"TUM00017064","2020-10-28","68",,"65"
"TUM00017064","2020-10-29","65","69",
"TUM00017064","2020-10-30","60",,
"TUM00017064","2020-10-31","58",,"53"
"TUM00017064","2020-11-01","55",,
"TUM00017064","2020-11-02","54",,"48"
"TUM00017064","2020-11-03","56",,"50"
"TUM00017064","2020-11-04","58",,
"TUM00017064","2020-11-05","60",,"54"
"TUM00017064","2020-11-06","59",,
"TUM00017064","2020-11-07","56",,"52"
"TUM00017064","2020-11-08","59",,"52"
"TUM00017064","2020-11-09","61",,"56"
"TUM00017064","2020-11-10","60",,
"TUM00017064","2020-11-11","59",,
"TUM00017064","2020-11-12","58",,
"TUM00017064","2020-11-13","58",,"52"
"TUM00017064","2020-11-14","56",,
"TUM00017064","2020-11-15","55",,
"TUM00017064","2020-11-16","54",,"47"
"TUM00017064","2020-11-17","54",,"46"
"TUM00017064","2020-11-18","55","61","49"
"TUM00017064","2020-11-19","54",,
"TUM00017064","2020-11-20","53",,
"TUM00017064","2020-11-21","51",,
"TUM00017064","2020-11-22","50",,
"TUM00017064","2020-11-23","50",,"43"
"TUM00017064","2020-11-24","50",,"42"
"TUM00017064","2020-11-25","53",,
"TUM00017064","2020-11-26","51",,"44"
"TUM00017064","2020-11-27","53",,"45"
"TUM00017064","2020-11-28","51",,"44"
"TUM00017064","2020-11-29","54",,"45"
"TUM00017064","2020-11-30","53","63",
"TUM00017064","2020-12-01","46",,
"TUM00017064","2020-12-02","46",,"44"
"TUM00017064","2020-12-03","51","57","47"
"TUM00017064","2020-12-04","55","69","44"
"TUM00017064","2020-12-05","54","64","47"
"TUM00017064","2020-12-06","55","61",
"TUM00017064","2020-12-07","54","62","50"
"TUM00017064","2020-12-08","54","61",
"TUM00017064","2020-12-09","56","65","48"
"TUM00017064","2020-12-10","61","67","54"
"TUM00017064","2020-12-11","56","62",
"TUM00017064","2020-12-12","57","61","49"
"TUM00017064","2020-12-13","58","64","55"
"TUM00017064","2020-12-14","56","59",
"TUM00017064","2020-12-15","51",,
"TUM00017064","2020-12-16","50","51","48"
"TUM00017064","2020-12-17","50","53","49"
"TUM00017064","2020-12-18","49","53",
"TUM00017064","2020-12-19","49","54","44"
"TUM00017064","2020-12-20","48","56","45"
"TUM00017064","2020-12-21","47","50",
"TUM00017064","2020-12-22","45","48",
"TUM00017064","2020-12-23","45",,"37"
"TUM00017064","2020-12-24","53","58","48"
"TUM00017064","2020-12-25","57","64","46"
"TUM00017064","2020-12-26","61","67","57"
"TUM00017064","2020-12-27","59","68","55"
"TUM00017064","2020-12-28","55",,
"TUM00017064","2020-12-29","57","64","48"
"TUM00017064","2020-12-30","57","67","48"
"TUM00017064","2020-12-31","57","66","50"
